Day,Shift,Employees
Monday,morning,Abhishek
Monday,afternoon,Peter
Monday,evening,Aaradhya; Charlie
Tuesday,morning,Peter
Tuesday,afternoon,Charlie; Aaradhya
Tuesday,evening,Abhishek
Wednesday,morning,Aaradhya; Charlie
Wednesday,afternoon,Abhishek
Wednesday,evening,Peter
Thursday,morning,Abhishek
Thursday,afternoon,Peter
Thursday,evening,Aaradhya; Charlie
Friday,morning,Peter
Friday,afternoon,Aaradhya; Charlie
Friday,evening,Abhishek
Saturday,morning,
Saturday,afternoon,
Saturday,evening,
Sunday,morning,
Sunday,afternoon,
Sunday,evening,
